Соотношение матрица-наполнитель;Плотность, кг/м3;модуль упругости, ГПа;Количество отвердителя, м.%;Содержание эпоксидных групп,%_2;Температура вспышки, С_2;Поверхностная плотность, г/м2;Модуль упругости при растяжении, ГПа;Прочность при растяжении, МПа;Потребление смолы, г/м2;Угол нашивки, град;Шаг нашивки;Плотность нашивки
0,274768157;0,651097433;0,447060967;0,079152723;0,607435279;0,509164256;0,162230076;0,280302757;0,712589764;0,52922146;0;0,289333985;0,557156131
0,274768157;0,651097433;0,447060967;0,630983046;0,418886958;0,583596243;0,162230076;0,280302757;0,712589764;0,52922146;0;0,362354585;0,335839977
0,466552431;0,651097433;0,455721162;0,511256821;0,49565306;0,509164256;0,162230076;0,280302757;0,712589764;0,52922146;0;0,362354585;0,506083172
0,465836437;0,571539346;0,4526853;0,511256821;0,49565306;0,509164256;0,162230076;0,280302757;0,712589764;0,52922146;0;0,362354585;0,557156131
0,424236243;0,332865084;0,488508469;0,511256821;0,49565306;0,509164256;0,162230076;0,280302757;0,712589764;0,52922146;0;0,362354585;0,727399326
0,422527565;0,306345721;0,323357588;0,511256821;0,49565306;0,509164256;0,293937839;0,595485951;0,223847081;0,190659054;0;0,508395787;0,335839977
0,63137879;0,385903809;0,538296603;0,630983046;0,418886958;0,583596243;0,293937839;0,595485951;0,223847081;0,190659054;0;0,508395787;0,506083172
0,626201421;0,836732971;0,861312297;0,630983046;0,418886958;0,583596243;0,782031312;0,784595867;0,305304195;0,800071384;0;0,508395787;0,557156131
0,497673571;0,995849146;0,565012186;0,630983046;0,418886958;0,583596243;0,782031312;0,784595867;0,305304195;0,800071384;0;0,508395787;0,727399326
0,488795547;0,545019984;0,986996975;0,630983046;0,418886958;0,583596243;0,782031312;0,784595867;0,305304195;0,800071384;0;0,654436988;0,335839977
0,220439905;0,438942534;0,500651917;0,630983046;0,418886958;0,583596243;0,363665478;0,490424886;0,490845399;0,52922146;0;0,654436988;0,506083172
0,497673571;0,518500621;0,343394276;0,630983046;0,418886958;0,583596243;0,363665478;0,490424886;0,490845399;0,52922146;0;0,654436988;0,557156131
0,730420779;0,332865084;0,484258263;0,630983046;0,418886958;0,583596243;0,363665478;0,490424886;0,490845399;0,52922146;0;0,654436988;0,727399326
0,500842348;0,651097433;0,181886429;0,630983046;0,418886958;0,583596243;0,162230076;0,280302757;0,712589764;0,52922146;0;0,727457589;0,335839977
0,63137879;0,253306996;0,188565324;0,630983046;0,418886958;0,583596243;0,162230076;0,280302757;0,712589764;0,52922146;0;0,727457589;0,506083172
0,764914319;0,438942534;0,30574959;0,630983046;0,418886958;0,583596243;0,293937839;0,595485951;0,223847081;0,190659054;0;0,727457589;0,557156131
